,,,Overall,Overall,Overall,Overall,Overall,search,search,search,search,search,search,search,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Control,Control,Control,Control,Control,Control,Control,
Rank,Player,team,K,D,KD,+/-,M,K,D,KD,+/-,K/M,FK,M,K,D,KD,+/-,K/M,TM,M,K,D,KD,+/-,K/M,CP,M,year
65,Accuracy,MIN,"2,141","2,440",0.878,-299,137,252,301,0.837,-49,5.5,44,46,"1,150","1,322",0.87,-172,20.2,"4,188",57,739,817,0.905,-78,21.7,101,34,2024
1,Gwinn,CAR,357,268,1.332,89,16,35,28,1.25,7,7,3,5,215,150,1.433,65,30.7,583,7,107,90,1.189,17,26.8,13,4,2025
2,Shotzzy,TX,389,305,1.275,84,17,44,37,1.189,7,7.3,7,6,218,173,1.26,45,31.1,328,7,127,95,1.337,32,31.8,10,4,2025
3,Dashy,TX,362,309,1.172,53,17,53,27,1.963,26,8.8,5,6,211,194,1.088,17,30.1,594,7,98,88,1.114,10,24.5,20,4,2025
4,SlasheR,CAR,328,275,1.193,53,16,32,30,1.067,2,6.4,6,5,209,163,1.282,46,29.9,386,7,87,82,1.061,5,21.8,11,4,2025
5,CleanX,TOR,362,310,1.168,52,17,44,36,1.222,8,7.3,11,6,203,183,1.109,20,29,426,7,115,91,1.264,24,28.8,13,4,2025
6,Scrappy,LAT,383,335,1.143,48,17,32,27,1.185,5,6.4,3,5,243,200,1.215,43,30.4,387,8,108,108,1,0,27,16,4,2025
7,Khhx,VGS,284,238,1.193,46,14,30,24,1.25,6,7.5,6,4,171,140,1.221,31,28.5,379,6,83,74,1.122,9,20.8,12,4,2025
8,HyDra,LAT,402,365,1.101,37,17,28,36,0.778,-8,5.6,6,5,259,210,1.233,49,32.4,451,8,115,119,0.966,-4,28.8,11,4,2025
9,KiSMET,M8s,407,372,1.094,35,18,44,45,0.978,-1,7.3,12,6,242,235,1.03,7,30.3,725,8,121,92,1.315,29,30.3,19,4,2025
10,ReeaL,MIA,342,310,1.103,32,18,46,45,1.022,1,6.6,14,7,211,193,1.093,18,30.1,355,7,85,72,1.181,13,21.3,18,4,2025
11,RenKoR,MIA,338,315,1.073,23,18,41,47,0.872,-6,5.9,4,7,204,196,1.041,8,29.1,414,7,93,72,1.292,21,23.3,28,4,2025
12,Pred,TX,164,141,1.163,23,8,18,21,0.857,-3,6,2,3,91,73,1.247,18,30.3,139,3,55,47,1.17,8,27.5,2,2,2025
13,Owakening,BOS,350,328,1.067,22,20,50,51,0.98,-1,6.3,4,8,225,208,1.082,17,28.1,415,8,75,69,1.087,6,18.8,10,4,2025
14,Simp,ATL,309,287,1.077,22,16,37,33,1.121,4,7.4,4,5,162,150,1.08,12,23.1,392,7,110,104,1.058,6,27.5,13,4,2025
15,Snoopy,BOS,374,356,1.051,18,20,60,57,1.053,3,7.5,11,8,247,217,1.138,30,30.9,696,8,67,82,0.817,-15,16.8,11,4,2025
